cohort,winner,rate_delta_per_1k,codex_rate_per_1k,claude_rate_per_1k,codex,claude,total,one_sided,stack
subagent,claude,-9.195,0.0,9.195,0,4,4,True,project:agentsight;session:model;prompt:collector;tool:read;cmd:read;effect:read;path:collector/src/server;status:ok
subagent,claude,-9.195,0.0,9.195,0,4,4,True,project:agentsight;session:model;prompt:collector;tool:read;cmd:read;effect:read;path:collector/src/sources;status:ok
subagent,claude,-9.195,0.0,9.195,0,4,4,True,project:agentsight;session:model;prompt:design;tool:shell;cmd:find;effect:read;path:.svg;status:ok
subagent,claude,-9.195,0.0,9.195,0,4,4,True,project:agentsight;session:subagent;prompt:collector;tool:read;cmd:read;effect:read;path:collector/src/cmd_exec.rs;status:ok
subagent,claude,-9.195,0.0,9.195,0,4,4,True,project:agentsight;session:subagent;prompt:collector;tool:read;cmd:read;effect:read;path:collector/src/cmd_top.rs;status:ok
subagent,claude,-9.195,0.0,9.195,0,4,4,True,project:agentsight;session:subagent;prompt:collector;tool:shell;cmd:cd;effect:process;path:collector/src/cli_db.rs;status:ok
subagent,claude,-9.195,0.0,9.195,0,4,4,True,project:agentsight;session:subagent;prompt:collector;tool:shell;cmd:cd;effect:process;path:collector/src/cmd_top.rs;status:ok
subagent,claude,-9.195,0.0,9.195,0,4,4,True,project:agentsight;session:subagent;prompt:collector;tool:shell;cmd:cd;effect:process;path:collector/src/output;status:ok
subagent,claude,-9.195,0.0,9.195,0,4,4,True,project:agentsight;session:subagent;prompt:collector;tool:shell;cmd:cd;effect:process;path:collector;status:ok
all,codex,9.091,9.091,0.0,34,0,34,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:sed;effect:read;path:collector/src/sources;status:ok
top,codex,8.913,8.913,0.0,30,0,30,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:cargo;effect:test;status:ok
top,claude,-8.158,0.0,8.158,0,12,12,True,project:agentsight;session:paper;prompt:db;tool:shell;cmd:cargo;effect:test;status:ok
all,codex,8.021,8.021,0.0,30,0,30,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:cargo;effect:test;status:ok
top,codex,8.021,8.021,0.0,27,0,27,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:cargo;effect:test;status:ok
subagent,codex,8.021,8.021,0.0,3,0,3,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:rg;effect:read;path:docs/visexp/out;status:ok
subagent,codex,8.021,8.021,0.0,3,0,3,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:git;effect:read;path:collector/src/cli_db.rs;status:ok
subagent,codex,8.021,8.021,0.0,3,0,3,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:git;effect:read;status:ok
subagent,codex,8.021,8.021,0.0,3,0,3,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:git;effect:read;path:collector/src/sources;status:ok
subagent,codex,8.021,8.021,0.0,3,0,3,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:git;effect:read;path:collector/src/view;status:ok
subagent,codex,8.021,8.021,0.0,3,0,3,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:rg;effect:read;path:collector/src/view;status:ok
subagent,codex,8.021,8.021,0.0,3,0,3,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:plan;cmd:update;effect:process;path:aggregation/folded-stack;status:observed
subagent,codex,8.021,8.021,0.0,3,0,3,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:plan;cmd:update;effect:process;path:docs/visexp;status:observed
subagent,codex,8.021,8.021,0.0,3,0,3,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:shell;cmd:jq;effect:read;path:docs/visexp/out;status:ok
subagent,codex,8.021,8.021,0.0,3,0,3,True,project:agentsight;session:reviewing;prompt:prompt;tool:shell;cmd:sed;effect:read;path:docs/design/papers;status:ok
subagent,codex,8.021,8.021,0.0,3,0,3,True,project:agentsight;session:reviewing;prompt:reviewing;tool:shell;cmd:sed;effect:read;path:docs/design/papers;status:ok
subagent,codex,8.021,8.021,0.0,3,0,3,True,project:agentsight;session:reviewing;prompt:revise;tool:shell;cmd:sed;effect:read;path:docs/design/papers;status:ok
all,claude,-7.87,0.0,7.87,0,15,15,True,project:agentsight;session:paper;prompt:aggregate;tool:shell;cmd:gh;effect:process;status:ok
all,claude,-7.87,0.0,7.87,0,15,15,True,project:agentsight;session:paper;prompt:db;tool:shell;cmd:gh;effect:process;path:eunomia-bpf/agentsight;status:ok
all,claude,-7.87,0.0,7.87,0,15,15,True,project:agentsight;session:subagent;prompt:collector;tool:edit;cmd:edit;effect:write;path:collector/src/cmd_exec.rs;status:ok
top,codex,7.724,7.724,0.0,26,0,26,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:agentsight;effect:process;path:collector/target/debug;status:ok
all,codex,7.487,7.487,0.0,28,0,28,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:cargo;effect:test;status:ok
top,codex,7.427,7.427,0.0,25,0,25,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:sed;effect:read;path:collector/src/view;status:ok
all,claude,-7.345,0.0,7.345,0,14,14,True,project:agentsight;session:model;prompt:work;tool:subagent;cmd:taskupdate;effect:process;status:ok
all,claude,-7.345,0.0,7.345,0,14,14,True,project:agentsight;session:paper;prompt:aggregate;tool:read;cmd:read;effect:read;path:session/tasks;status:ok
all,claude,-7.345,0.0,7.345,0,14,14,True,project:agentsight;session:subagent;prompt:collector;tool:shell;cmd:cargo;effect:test;status:ok
top,codex,7.13,7.13,0.0,24,0,24,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:rg;effect:read;path:collector/src;status:ok
all,codex,6.952,6.952,0.0,26,0,26,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:agentsight;effect:process;path:collector/target/debug;status:ok
subagent,claude,-6.897,0.0,6.897,0,3,3,True,project:agentsight;session:model;prompt:collector;tool:read;cmd:read;effect:read;path:collector/src/cmd_trace.rs;status:ok
subagent,claude,-6.897,0.0,6.897,0,3,3,True,project:agentsight;session:model;prompt:collector;tool:read;cmd:read;effect:read;path:collector/src/model.rs;status:ok
subagent,claude,-6.897,0.0,6.897,0,3,3,True,project:agentsight;session:model;prompt:collector;tool:read;cmd:read;effect:read;path:frontend/src/utils;status:ok
subagent,claude,-6.897,0.0,6.897,0,3,3,True,project:agentsight;session:model;prompt:collector;tool:shell;cmd:find;effect:read;path:.tsx;status:ok
subagent,claude,-6.897,0.0,6.897,0,3,3,True,project:agentsight;session:model;prompt:collector;tool:shell;cmd:find;effect:read;path:frontend/src;status:ok
subagent,claude,-6.897,0.0,6.897,0,3,3,True,project:agentsight;session:model;prompt:collector;tool:shell;cmd:grep;effect:read;path:collector/src/analyzers;status:ok
subagent,claude,-6.897,0.0,6.897,0,3,3,True,project:agentsight;session:model;prompt:collector;tool:shell;cmd:grep;effect:read;path:collector/src/main.rs;status:ok
subagent,claude,-6.897,0.0,6.897,0,3,3,True,project:agentsight;session:subagent;prompt:collector;tool:read;cmd:read;effect:read;path:collector/src/output;status:ok
subagent,claude,-6.897,0.0,6.897,0,3,3,True,project:agentsight;session:subagent;prompt:collector;tool:shell;cmd:cd;effect:process;path:claude.md;status:ok
subagent,claude,-6.897,0.0,6.897,0,3,3,True,project:agentsight;session:subagent;prompt:collector;tool:shell;cmd:cd;effect:process;path:collector/src/main.rs;status:ok
subagent,claude,-6.897,0.0,6.897,0,3,3,True,project:agentsight;session:subagent;prompt:collector;tool:shell;cmd:cd;effect:process;path:readme.md;status:ok
subagent,claude,-6.897,0.0,6.897,0,3,3,True,project:agentsight;session:subagent;prompt:collector;tool:shell;cmd:grep;effect:read;path:src/cmd_top.rs;status:ok
subagent,claude,-6.897,0.0,6.897,0,3,3,True,project:agentsight;session:subagent;prompt:collector;tool:shell;cmd:grep;effect:read;path:src;status:ok
subagent,claude,-6.897,0.0,6.897,0,3,3,True,project:agentsight;session:subagent;prompt:implement;tool:read;cmd:read;effect:read;path:collector/src/server;status:ok
subagent,claude,-6.897,0.0,6.897,0,3,3,True,project:agentsight;session:subagent;prompt:implement;tool:read;cmd:read;effect:read;path:collector/src/view;status:ok
subagent,claude,-6.897,0.0,6.897,0,3,3,True,project:agentsight;session:subagent;prompt:implement;tool:read;cmd:read;effect:read;path:frontend/src/app;status:ok
subagent,claude,-6.897,0.0,6.897,0,3,3,True,project:agentsight;session:subagent;prompt:implement;tool:read;cmd:read;effect:read;path:frontend/src/utils;status:ok
top,codex,6.833,6.833,0.0,23,0,23,True,project:agentsight;session:session;prompt:trace;tool:shell;cmd:git;effect:read;status:ok
top,claude,-6.798,0.0,6.798,0,10,10,True,project:agentsight;session:paper;prompt:db;tool:edit;cmd:edit;effect:write;path:collector/src/main.rs;status:ok
top,claude,-6.798,0.0,6.798,0,10,10,True,project:agentsight;session:paper;prompt:db;tool:shell;cmd:agentsight;effect:process;path:collector/target/release;status:ok
all,codex,6.684,6.684,0.0,25,0,25,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:sed;effect:read;path:collector/src/view;status:ok
top,codex,6.536,6.536,0.0,22,0,22,True,project:agentsight;session:session;prompt:agent;tool:shell;cmd:git;effect:read;status:ok
all,codex,6.417,6.417,0.0,24,0,24,True,project:agentsight;session:session;prompt:session;tool:shell;cmd:rg;effect:read;path:collector/src;status:ok
all,claude,-6.296,0.0,6.296,0,12,12,True,project:agentsight;session:paper;prompt:db;tool:shell;cmd:cargo;effect:test;status:ok
top,codex,6.239,6.239,0.0,21,0,21,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:sed;effect:read;path:collector/src/analyzers;status:ok
all,codex,6.15,6.15,0.0,23,0,23,True,project:agentsight;session:session;prompt:trace;tool:shell;cmd:git;effect:read;status:ok
top,claude,-6.118,0.0,6.118,0,9,9,True,project:agentsight;session:model;prompt:work;tool:shell;cmd:cargo;effect:test;status:ok
top,codex,5.942,5.942,0.0,20,0,20,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:sed;effect:read;path:collector/src/view;status:ok
top,codex,5.942,5.942,0.0,20,0,20,True,project:agentsight;session:paper;prompt:pr;tool:shell;cmd:git;effect:read;status:ok
all,codex,5.882,5.882,0.0,22,0,22,True,project:agentsight;session:session;prompt:agent;tool:shell;cmd:git;effect:read;status:ok
top,codex,5.645,5.645,0.0,19,0,19,True,project:agentsight;session:session;prompt:subagent;tool:shell;cmd:git;effect:read;path:origin/master...head;status:ok
all,codex,5.615,5.615,0.0,21,0,21,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:sed;effect:read;path:collector/src/analyzers;status:ok
top,claude,-5.438,0.0,5.438,0,8,8,True,project:agentsight;session:model;prompt:work;tool:edit;cmd:write;effect:write;path:collector/src/agents;status:ok
top,claude,-5.438,0.0,5.438,0,8,8,True,project:agentsight;session:paper;prompt:aggregate;tool:shell;cmd:5;effect:process;path:collector/target/release;status:ok
top,claude,-5.438,0.0,5.438,0,8,8,True,project:agentsight;session:paper;prompt:aggregate;tool:shell;cmd:cd;effect:process;path:repo;status:ok
top,claude,-5.438,0.0,5.438,0,8,8,True,project:agentsight;session:paper;prompt:loc;tool:shell;cmd:cargo;effect:write;status:ok
all,codex,5.348,5.348,0.0,20,0,20,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:sed;effect:read;path:collector/src/view;status:ok
all,codex,5.348,5.348,0.0,20,0,20,True,project:agentsight;session:paper;prompt:pr;tool:shell;cmd:git;effect:read;status:ok
top,codex,5.348,5.348,0.0,18,0,18,True,project:agentsight;session:flamegraph;prompt:session;tool:shell;cmd:jq;effect:read;path:docs/design/vis;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:awk;effect:process;path:docs/visexp/out;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:find;effect:read;path:docs/visexp;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:ls;effect:read;path:docs/visexp/out;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:nl;effect:read;path:docs/visexp/claims.md;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:nl;effect:read;path:docs/visexp/design.md;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:nl;effect:read;path:docs/visexp/readme.md;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:nl;effect:read;path:docs/visexp/test_semantic_tag_flamegraph.py;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:nl;effect:read;path:docs/visexp/verify_artifacts.py;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:rg;effect:read;path:docs/visexp/semantic_tag_flamegraph.py;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:sed;effect:read;path:osdi-experiment-design/references;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:sed;effect:read;path:skills/osdi-experiment-design;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:tail;effect:read;path:docs/visexp/out;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:wc;effect:read;path:docs/visexp/claims.md;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:wc;effect:read;path:docs/visexp/design.md;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:wc;effect:read;path:docs/visexp/out;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:wc;effect:read;path:docs/visexp/readme.md;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:wc;effect:read;path:docs/visexp/semantic_tag_flamegraph.py;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:wc;effect:read;path:docs/visexp/verify_artifacts.py;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:git;effect:read;path:collector/src/main.rs;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:git;effect:read;path:collector/src/server;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:git;effect:read;path:readme.md;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:git;effect:read;path:readme.zh-cn.md;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:git;effect:repo;path:origin/master;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:nl;effect:read;path:collector/src/cmd_exec.rs;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:nl;effect:read;path:collector/src/main.rs;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:paper;prompt:debug;tool:shell;cmd:rg;effect:read;path:collector/tests;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:git;effect:read;path:collector/src/cli_db.rs;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:git;effect:read;path:collector/src/server;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:ls;effect:read;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:nl;effect:read;path:collector/src/cmd_exec.rs;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:nl;effect:read;path:collector/src/sinks;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:rg;effect:read;path:collector/src/cmd_trace.rs;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:paper;prompt:paper;tool:shell;cmd:rg;effect:read;path:collector/src/main.rs;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:shell;cmd:rg;effect:read;path:docs/visexp/design.md;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:shell;cmd:rg;effect:read;path:docs/visexp/readme.md;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:shell;cmd:rg;effect:read;path:docs/visexp/semantic_tag_flamegraph.py;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:reviewing;prompt:prompt;tool:shell;cmd:find;effect:read;path:docs/visexp;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:reviewing;prompt:prompt;tool:shell;cmd:git;effect:read;path:docs/visexp;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:reviewing;prompt:prompt;tool:shell;cmd:rg;effect:read;path:docs/visexp/out;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:reviewing;prompt:prompt;tool:shell;cmd:sed;effect:read;path:osdi-experiment-design/references;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:reviewing;prompt:prompt;tool:shell;cmd:sed;effect:read;path:skills/osdi-experiment-design;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:session;prompt:paper;tool:shell;cmd:git;effect:read;status:ok
subagent,codex,5.348,5.348,0.0,2,0,2,True,project:agentsight;session:session;prompt:paper;tool:shell;cmd:lsof;effect:process;status:fail
all,claude,-5.247,0.0,5.247,0,10,10,True,project:agentsight;session:model;prompt:collector;tool:shell;cmd:grep;effect:read;path:collector/src;status:ok
